Date,Flows_(Amt)_Open_ended_(Existing)_T,Flows_(Amt)_Open_ended_(Existing)_T_1,Flows_(Amt)_Open_ended_(Existing)_T_2,Flows_(Amt)_Open_ended_(Existing)_T_3,Benchmark_Returns_T,Benchmark_Returns_T_1,Benchmark_Returns_T_2,Benchmark_Returns_T_3,No_of_funds_closed_ended_(New) ,Flows_in_Open_Ended_(Amt)
May-17,20713,18386,25624,18176,1.694321085,2.749705112,3.736157248,4.434070844,2,418
Apr-17,18386,25624,18176,15577,2.749705112,3.736157248,4.434070844,5.649466676,0,-
Mar-17,25624,18176,15577,16493,3.736157248,4.434070844,5.649466676,-1.417139121,0,-
Feb-17,18176,15577,16493,21519,4.434070844,5.649466676,-1.417139121,-5.756430104,1,119
Jan-17,15577,16493,21519,17000,5.649466676,-1.417139121,-5.756430104,1.523334174,2,231
Dec-16,16493,21519,17000,18696,-1.417139121,-5.756430104,1.523334174,-1.134273322,1,59
Nov-16,21519,17000,18696,20501,-5.756430104,1.523334174,-1.134273322,2.148548761,0,-
Oct-16,17000,18696,20501,11677,1.523334174,-1.134273322,2.148548761,5.045673175,0,-
Sep-16,18696,20501,11677,13163,-1.134273322,2.148548761,5.045673175,2.489989769,1,330
Aug-16,20501,11677,13163,12441,2.148548761,5.045673175,2.489989769,3.415009629,0,-
Jul-16,11677,13163,12441,10310,5.045673175,2.489989769,3.415009629,2.169832069,1,60
Jun-16,13163,12441,10310,10957,2.489989769,3.415009629,2.169832069,10.63543203,0,-
May-16,12441,10310,10957,9614,3.415009629,2.169832069,10.63543203,-8.068779502,0,-
Apr-16,10310,10957,9614,9879,2.169832069,10.63543203,-8.068779502,-5.83202153,1,66
Mar-16,10957,9614,9879,12266,10.63543203,-8.068779502,-5.83202153,0.50411686,1,155
Feb-16,9614,9879,12266,11575,-8.068779502,-5.83202153,0.50411686,-0.849921005,1,59
Jan-16,9879,12266,11575,12810,-5.83202153,0.50411686,-0.849921005,1.650843425,0,-
Dec-15,12266,11575,12810,11905,0.50411686,-0.849921005,1.650843425,-0.361699179,6,272
Nov-15,11575,12810,11905,14843,-0.849921005,1.650843425,-0.361699179,-6.205055985,0,-
Oct-15,12810,11905,14843,13130,1.650843425,-0.361699179,-6.205055985,3.025533933,0,-
Sep-15,11905,14843,13130,17287,-0.361699179,-6.205055985,3.025533933,-1.090644209,1,20
Aug-15,14843,13130,17287,10957,-6.205055985,3.025533933,-1.090644209,3.056326033,1,672
Jul-15,13130,17287,10957,14216,3.025533933,-1.090644209,3.056326033,-3.185156692,2,148
Jun-15,17287,10957,14216,13873,-1.090644209,3.056326033,-3.185156692,-3.541012803,0,-
May-15,10957,14216,13873,10637,3.056326033,-3.185156692,-3.541012803,0.952826663,1,155
Apr-15,14216,13873,10637,9887,-3.185156692,-3.541012803,0.952826663,5.825798713,0,-
Mar-15,13873,10637,9887,11651,-3.541012803,0.952826663,5.825798713,-2.140713535,3,223
Feb-15,10637,9887,11651,9282,0.952826663,5.825798713,-2.140713535,3.409851353,4,449
Jan-15,9887,11651,9282,7043,5.825798713,-2.140713535,3.409851353,4.144492523,1,782
Dec-14,11651,9282,7043,11176,-2.140713535,3.409851353,4.144492523,0.764455115,2,360
Nov-14,9282,7043,11176,8598,3.409851353,4.144492523,0.764455115,2.691041356,1,139
Oct-14,7043,11176,8598,16908,4.144492523,0.764455115,2.691041356,0.410260495,4,685
Sep-14,11176,8598,16908,10956,0.764455115,2.691041356,0.410260495,6.358129092,0,-
Aug-14,8598,16908,10956,9029,2.691041356,0.410260495,6.358129092,10.35536402,4,532
Jul-14,16908,10956,9029,5363,0.410260495,6.358129092,10.35536402,0.565262572,0,-
Jun-14,10956,9029,5363,5505,6.358129092,10.35536402,0.565262572,7.594409676,4,350
May-14,9029,5363,5505,3328,10.35536402,0.565262572,7.594409676,2.81010052,2,289
Apr-14,5363,5505,3328,3779,0.565262572,7.594409676,2.81010052,-4.206766696,1,64
Mar-14,5505,3328,3779,4452,7.594409676,2.81010052,-4.206766696,3.028739664,1,25
Feb-14,3328,3779,4452,4403,2.81010052,-4.206766696,3.028739664,-0.762869256,2,94
Jan-14,3779,4452,4403,2484,-4.206766696,3.028739664,-0.762869256,9.069282446,0,-
Dec-13,4452,4403,2484,1860,3.028739664,-0.762869256,9.069282446,5.184328345,2,222
Nov-13,4403,2484,1860,2660,-0.762869256,9.069282446,5.184328345,-4.460630214,1,24
Oct-13,2484,1860,2660,2811,9.069282446,5.184328345,-4.460630214,-2.491603923,0,-
Sep-13,1860,2660,2811,3180,5.184328345,-4.460630214,-2.491603923,-3.733325808,0,-
Aug-13,2660,2811,3180,2946,-4.460630214,-2.491603923,-3.733325808,0.766934092,0,-
Jul-13,2811,3180,2946,2734,-2.491603923,-3.733325808,0.766934092,4.238414896,0,-
Jun-13,3180,2946,2734,3630,-3.733325808,0.766934092,4.238414896,-1.099014614,0,-
May-13,2946,2734,3630,3375,0.766934092,4.238414896,-1.099014614,-6.549269868,2,146
Apr-13,2734,3630,3375,5222,4.238414896,-1.099014614,-6.549269868,1.110192216,0,-
Mar-13,3630,3375,5222,4125,-1.099014614,-6.549269868,1.110192216,1.460297493,0,-
